1646508273 1857916052 {'positive': 1, 'negative': 0, 'total': 2}
1654737895 1893801487 {'positive': 1, 'negative': 0, 'total': 16}
1654784493 1893801487 {'positive': 0, 'negative': 1, 'total': 38}
1654843397 1893801487 {'positive': 1, 'negative': 0, 'total': 50}
1819947065 1893801487 {'positive': 1, 'negative': 0, 'total': 18}
1654694194 1893801487 {'positive': 0, 'negative': 1, 'total': 60}
1654821835 1893801487 {'positive': 1, 'negative': 0, 'total': 40}
1654742192 1893801487 {'positive': 1, 'negative': 0, 'total': 48}
1819117872 1893801487 {'positive': 0, 'negative': 1, 'total': 30}
1654783185 1893801487 {'positive': 1, 'negative': 0, 'total': 6}
1820029551 1893801487 {'positive': 1, 'negative': 0, 'total': 40}
1819138773 1893801487 {'positive': 1, 'negative': 1, 'total': 72}
1654682885 1893801487 {'positive': 0, 'negative': 1, 'total': 65}
1819889424 1893801487 {'positive': 0, 'negative': 1, 'total': 27}
1654716241 1893801487 {'positive': 0, 'negative': 1, 'total': 106}
1819050347 1893801487 {'positive': 0, 'negative': 1, 'total': 26}
1654815557 1893801487 {'positive': 1, 'negative': 0, 'total': 23}
1654799567 1893801487 {'positive': 1, 'negative': 0, 'total': 127}
1819972707 1893801487 {'positive': 1, 'negative': 0, 'total': 55}
1654784075 1893801487 {'positive': 1, 'negative': 0, 'total': 55}
1819971291 1893801487 {'positive': 1, 'negative': 0, 'total': 79}
1689136780 1893801487 {'positive': 1, 'negative': 0, 'total': 19}
1689120485 1893801487 {'positive': 0, 'negative': 1, 'total': 21}
1692720283 1893801487 {'positive': 1, 'negative': 0, 'total': 16}
1689014577 1893801487 {'positive': 2, 'negative': 0, 'total': 12}
1690924763 1893801487 {'positive': 0, 'negative': 1, 'total': 27}
1690980825 1893801487 {'positive': 1, 'negative': 0, 'total': 23}
1690743435 1893801487 {'positive': 1, 'negative': 0, 'total': 5}
1689066070 1893801487 {'positive': 1, 'negative': 0, 'total': 75}
1689132537 1893801487 {'positive': 1, 'negative': 0, 'total': 12}
1689108920 1893801487 {'positive': 0, 'negative': 1, 'total': 24}
1690978437 1893801487 {'positive': 1, 'negative': 0, 'total': 9}
1691054495 1893801487 {'positive': 1, 'negative': 0, 'total': 22}
1692733163 1893801487 {'positive': 0, 'negative': 1, 'total': 10}
1692769643 1893801487 {'positive': 1, 'negative': 0, 'total': 13}
1692858125 1893801487 {'positive': 1, 'negative': 0, 'total': 30}
1689116484 1893801487 {'positive': 1, 'negative': 0, 'total': 18}
1690698034 1893801487 {'positive': 0, 'negative': 1, 'total': 45}
1692871771 1893801487 {'positive': 1, 'negative': 0, 'total': 15}
1690886970 1893801487 {'positive': 0, 'negative': 1, 'total': 17}
1688974433 1893801487 {'positive': 1, 'negative': 0, 'total': 31}
1688985755 1893801487 {'positive': 0, 'negative': 1, 'total': 11}
1690643233 1893801487 {'positive': 1, 'negative': 0, 'total': 32}
1692826504 1893801487 {'positive': 0, 'negative': 1, 'total': 1}
1642483781 2215768613 {'positive': 1, 'negative': 0, 'total': 2}
1807982270 2215768613 {'positive': 2, 'negative': 0, 'total': 15}
1807986924 2215768613 {'positive': 1, 'negative': 0, 'total': 12}
1807996304 2215768613 {'positive': 1, 'negative': 0, 'total': 18}
1654651333 2215768613 {'positive': 1, 'negative': 0, 'total': 37}
1819960994 2215768613 {'positive': 0, 'negative': 1, 'total': 26}
1819891341 2215768613 {'positive': 1, 'negative': 0, 'total': 18}
1819131765 2215768613 {'positive': 0, 'negative': 1, 'total': 18}
1819047075 2215768613 {'positive': 1, 'negative': 0, 'total': 85}
1820060694 2215768613 {'positive': 0, 'negative': 1, 'total': 16}
1819932287 2215768613 {'positive': 1, 'negative': 0, 'total': 67}
1687209431 2215768613 {'positive': 1, 'negative': 0, 'total': 12}
1642394201 1911006223 {'positive': 0, 'negative': 1, 'total': 4}
1642487125 1911006223 {'positive': 1, 'negative': 0, 'total': 3}
1642570570 1911006223 {'positive': 1, 'negative': 0, 'total': 2}
1807991080 1911006223 {'positive': 1, 'negative': 0, 'total': 12}
1648582822 1911006223 {'positive': 0, 'negative': 1, 'total': 16}
1648612347 1911006223 {'positive': 1, 'negative': 0, 'total': 10}
1648623305 1911006223 {'positive': 0, 'negative': 1, 'total': 22}
1648698437 1911006223 {'positive': 0, 'negative': 1, 'total': 15}
1808859241 1911006223 {'positive': 1, 'negative': 0, 'total': 4}
1819982515 1911006223 {'positive': 2, 'negative': 1, 'total': 36}
1820052524 1911006223 {'positive': 0, 'negative': 1, 'total': 27}
1654647262 1911006223 {'positive': 1, 'negative': 0, 'total': 51}
1654686373 1911006223 {'positive': 1, 'negative': 0, 'total': 115}
1819117872 1911006223 {'positive': 0, 'negative': 1, 'total': 30}
1654708892 1911006223 {'positive': 0, 'negative': 1, 'total': 50}
1819892982 1911006223 {'positive': 0, 'negative': 1, 'total': 91}
1654738827 1911006223 {'positive': 1, 'negative': 0, 'total': 51}
1819934483 1911006223 {'positive': 1, 'negative': 0, 'total': 32}
1819928333 1911006223 {'positive': 1, 'negative': 0, 'total': 128}
1819971291 1911006223 {'positive': 1, 'negative': 0, 'total': 79}
1654782014 1911006223 {'positive': 1, 'negative': 0, 'total': 69}
1654813922 1911006223 {'positive': 1, 'negative': 0, 'total': 38}
1654838353 1911006223 {'positive': 1, 'negative': 0, 'total': 62}
1820041880 1911006223 {'positive': 1, 'negative': 0, 'total': 67}
1820055323 1911006223 {'positive': 1, 'negative': 0, 'total': 40}
1654887647 1911006223 {'positive': 1, 'negative': 0, 'total': 9}
1656259673 1911006223 {'positive': 0, 'negative': 1, 'total': 45}
1692735623 1911006223 {'positive': 1, 'negative': 1, 'total': 8}
1692769160 1911006223 {'positive': 0, 'negative': 1, 'total': 18}
1692802397 1911006223 {'positive': 0, 'negative': 1, 'total': 5}
1690884751 1911006223 {'positive': 1, 'negative': 0, 'total': 12}
1689001851 1911006223 {'positive': 1, 'negative': 0, 'total': 30}
1689152510 1911006223 {'positive': 1, 'negative': 0, 'total': 17}
1690998143 1911006223 {'positive': 1, 'negative': 0, 'total': 11}
1692760404 1911006223 {'positive': 0, 'negative': 1, 'total': 6}
1692760523 1911006223 {'positive': 1, 'negative': 0, 'total': 15}
1692783105 1911006223 {'positive': 0, 'negative': 1, 'total': 39}
1692802234 1911006223 {'positive': 0, 'negative': 1, 'total': 11}
1692876363 1911006223 {'positive': 0, 'negative': 1, 'total': 14}
1646573224 1618051664 {'positive': 0, 'negative': 2, 'total': 2}
1642641953 1618051664 {'positive': 0, 'negative': 1, 'total': 1}
1642552780 1618051664 {'positive': 1, 'negative': 0, 'total': 1}
1646563521 1618051664 {'positive': 1, 'negative': 0, 'total': 1}
1642607155 1618051664 {'positive': 1, 'negative': 0, 'total': 1}
1642614073 1618051664 {'positive': 1, 'negative': 0, 'total': 2}
1642783947 1618051664 {'positive': 1, 'negative': 0, 'total': 2}
1642774114 1618051664 {'positive': 0, 'negative': 1, 'total': 4}
1642447617 1618051664 {'positive': 1, 'negative': 0, 'total': 3}
1642633271 1618051664 {'positive': 1, 'negative': 0, 'total': 3}
1642680274 1618051664 {'positive': 0, 'negative': 1, 'total': 3}
1642751117 1618051664 {'positive': 1, 'negative': 0, 'total': 3}
1648651432 1618051664 {'positive': 0, 'negative': 1, 'total': 18}
1808805444 1618051664 {'positive': 1, 'negative': 0, 'total': 17}
1808032831 1618051664 {'positive': 2, 'negative': 1, 'total': 36}
1808839250 1618051664 {'positive': 0, 'negative': 1, 'total': 34}
1808000544 1618051664 {'positive': 1, 'negative': 2, 'total': 4}
1648561311 1618051664 {'positive': 1, 'negative': 0, 'total': 26}
1808023290 1618051664 {'positive': 1, 'negative': 0, 'total': 16}
1648680984 1618051664 {'positive': 0, 'negative': 1, 'total': 21}
1808852430 1618051664 {'positive': 1, 'negative': 2, 'total': 18}
1808804582 1618051664 {'positive': 0, 'negative': 1, 'total': 38}
1808862524 1618051664 {'positive': 2, 'negative': 0, 'total': 3}
1808023550 1618051664 {'positive': 1, 'negative': 0, 'total': 3}
1808774904 1618051664 {'positive': 1, 'negative': 0, 'total': 10}
1807939287 1618051664 {'positive': 0, 'negative': 1, 'total': 23}
1807924895 1618051664 {'positive': 1, 'negative': 1, 'total': 27}
1807940424 1618051664 {'positive': 0, 'negative': 1, 'total': 32}
1648467065 1618051664 {'positive': 0, 'negative': 1, 'total': 23}
1648570162 1618051664 {'positive': 0, 'negative': 1, 'total': 21}
1648610955 1618051664 {'positive': 0, 'negative': 1, 'total': 15}
1648733862 1618051664 {'positive': 1, 'negative': 0, 'total': 33}
1648734421 1618051664 {'positive': 1, 'negative': 0, 'total': 16}
1648765635 1618051664 {'positive': 0, 'negative': 1, 'total': 53}
1648542821 1618051664 {'positive': 0, 'negative': 1, 'total': 25}
1648725487 1618051664 {'positive': 1, 'negative': 0, 'total': 36}
1648540182 1618051664 {'positive': 0, 'negative': 1, 'total': 21}
1648773371 1618051664 {'positive': 2, 'negative': 0, 'total': 18}
1808822101 1618051664 {'positive': 0, 'negative': 1, 'total': 36}
1648419284 1618051664 {'positive': 1, 'negative': 0, 'total': 34}
1807945020 1618051664 {'positive': 3, 'negative': 0, 'total': 38}
1648476013 1618051664 {'positive': 0, 'negative': 1, 'total': 27}
1648664373 1618051664 {'positive': 1, 'negative': 2, 'total': 32}
1648643920 1618051664 {'positive': 0, 'negative': 1, 'total': 13}
1808063282 1618051664 {'positive': 0, 'negative': 1, 'total': 8}
1648727064 1618051664 {'positive': 0, 'negative': 1, 'total': 13}
1648578525 1618051664 {'positive': 1, 'negative': 0, 'total': 11}
1648701560 1618051664 {'positive': 1, 'negative': 0, 'total': 26}
1648416875 1618051664 {'positive': 1, 'negative': 0, 'total': 34}
1807972150 1618051664 {'positive': 1, 'negative': 1, 'total': 19}
1648638123 1618051664 {'positive': 2, 'negative': 0, 'total': 22}
1648791521 1618051664 {'positive': 1, 'negative': 0, 'total': 6}
1807914990 1618051664 {'positive': 1, 'negative': 0, 'total': 13}
1648771577 1618051664 {'positive': 1, 'negative': 0, 'total': 23}
1808059631 1618051664 {'positive': 1, 'negative': 0, 'total': 4}
1808054662 1618051664 {'positive': 1, 'negative': 0, 'total': 28}
1648629790 1618051664 {'positive': 1, 'negative': 0, 'total': 10}
1807943222 1618051664 {'positive': 0, 'negative': 1, 'total': 14}
1807983964 1618051664 {'positive': 1, 'negative': 2, 'total': 32}
1648607244 1618051664 {'positive': 1, 'negative': 0, 'total': 16}
1648781083 1618051664 {'positive': 0, 'negative': 1, 'total': 6}
1648496407 1618051664 {'positive': 0, 'negative': 1, 'total': 26}
1808070557 1618051664 {'positive': 1, 'negative': 0, 'total': 10}
1808020857 1618051664 {'positive': 0, 'negative': 1, 'total': 24}
1808023582 1618051664 {'positive': 1, 'negative': 1, 'total': 33}
1808040492 1618051664 {'positive': 0, 'negative': 1, 'total': 33}
1808012970 1618051664 {'positive': 0, 'negative': 1, 'total': 18}
1648601487 1618051664 {'positive': 2, 'negative': 0, 'total': 34}
1808771715 1618051664 {'positive': 1, 'negative': 0, 'total': 10}
1808781792 1618051664 {'positive': 0, 'negative': 4, 'total': 34}
1648680322 1618051664 {'positive': 1, 'negative': 0, 'total': 9}
1808786340 1618051664 {'positive': 1, 'negative': 0, 'total': 13}
1648748542 1618051664 {'positive': 0, 'negative': 1, 'total': 27}
1648714090 1618051664 {'positive': 0, 'negative': 2, 'total': 17}
1808820804 1618051664 {'positive': 1, 'negative': 0, 'total': 17}
1648411683 1618051664 {'positive': 0, 'negative': 1, 'total': 13}
1648667433 1618051664 {'positive': 1, 'negative': 0, 'total': 18}
1648723144 1618051664 {'positive': 1, 'negative': 1, 'total': 30}
1648569000 1618051664 {'positive': 0, 'negative': 1, 'total': 38}
1808853184 1618051664 {'positive': 1, 'negative': 0, 'total': 9}
1808054420 1618051664 {'positive': 1, 'negative': 0, 'total': 24}
1808796007 1618051664 {'positive': 0, 'negative': 1, 'total': 2}
1648585813 1618051664 {'positive': 1, 'negative': 1, 'total': 18}
1807964582 1618051664 {'positive': 1, 'negative': 0, 'total': 17}
1648740203 1618051664 {'positive': 1, 'negative': 0, 'total': 17}
1808840130 1618051664 {'positive': 0, 'negative': 1, 'total': 15}
1648775882 1618051664 {'positive': 1, 'negative': 0, 'total': 9}
1808789237 1618051664 {'positive': 1, 'negative': 0, 'total': 6}
1648440513 1618051664 {'positive': 2, 'negative': 0, 'total': 36}
1808827340 1618051664 {'positive': 1, 'negative': 0, 'total': 18}
1808005172 1618051664 {'positive': 0, 'negative': 1, 'total': 15}
1648588480 1618051664 {'positive': 1, 'negative': 0, 'total': 24}
1648645824 1618051664 {'positive': 1, 'negative': 0, 'total': 12}
1648672205 1618051664 {'positive': 1, 'negative': 0, 'total': 27}
1808061682 1618051664 {'positive': 1, 'negative': 0, 'total': 12}
1807958282 1618051664 {'positive': 0, 'negative': 1, 'total': 24}
1648749701 1618051664 {'positive': 1, 'negative': 0, 'total': 24}
1807942100 1618051664 {'positive': 2, 'negative': 0, 'total': 43}
1648541970 1618051664 {'positive': 0, 'negative': 1, 'total': 31}
1648537963 1618051664 {'positive': 0, 'negative': 1, 'total': 13}
1808814424 1618051664 {'positive': 0, 'negative': 1, 'total': 28}
1648683215 1618051664 {'positive': 1, 'negative': 0, 'total': 25}
1648680841 1618051664 {'positive': 1, 'negative': 1, 'total': 24}
1648714593 1618051664 {'positive': 1, 'negative': 0, 'total': 10}
1648767512 1618051664 {'positive': 0, 'negative': 1, 'total': 20}
1648771254 1618051664 {'positive': 1, 'negative': 0, 'total': 41}
1648425595 1618051664 {'positive': 1, 'negative': 0, 'total': 6}
1807933914 1618051664 {'positive': 1, 'negative': 0, 'total': 26}
1648543431 1618051664 {'positive': 1, 'negative': 0, 'total': 5}
1648692765 1618051664 {'positive': 1, 'negative': 0, 'total': 36}
1808008002 1618051664 {'positive': 0, 'negative': 1, 'total': 12}
1808062055 1618051664 {'positive': 1, 'negative': 0, 'total': 48}
1648698057 1618051664 {'positive': 1, 'negative': 0, 'total': 9}
1648605393 1618051664 {'positive': 1, 'negative': 0, 'total': 26}
1648671465 1618051664 {'positive': 0, 'negative': 1, 'total': 25}
1648736703 1618051664 {'positive': 1, 'negative': 0, 'total': 18}
1654803330 1618051664 {'positive': 1, 'negative': 1, 'total': 27}
1654872754 1618051664 {'positive': 5, 'negative': 2, 'total': 80}
1819907282 1618051664 {'positive': 1, 'negative': 2, 'total': 33}
1819889171 1618051664 {'positive': 1, 'negative': 0, 'total': 32}
1819981197 1618051664 {'positive': 2, 'negative': 5, 'total': 96}
1820050685 1618051664 {'positive': 0, 'negative': 2, 'total': 10}
1654676623 1618051664 {'positive': 12, 'negative': 1, 'total': 316}
1820020563 1618051664 {'positive': 1, 'negative': 1, 'total': 66}
1820049914 1618051664 {'positive': 2, 'negative': 0, 'total': 52}
1819125741 1618051664 {'positive': 3, 'negative': 5, 'total': 147}
1819972413 1618051664 {'positive': 0, 'negative': 1, 'total': 39}
1820055323 1618051664 {'positive': 1, 'negative': 0, 'total': 40}
1820025795 1618051664 {'positive': 3, 'negative': 4, 'total': 111}
1654759521 1618051664 {'positive': 1, 'negative': 1, 'total': 45}
1654726847 1618051664 {'positive': 1, 'negative': 0, 'total': 36}
1654676815 1618051664 {'positive': 5, 'negative': 1, 'total': 178}
1819928333 1618051664 {'positive': 2, 'negative': 1, 'total': 128}
1654715720 1618051664 {'positive': 1, 'negative': 0, 'total': 85}
1819930497 1618051664 {'positive': 1, 'negative': 0, 'total': 24}
1820790617 1618051664 {'positive': 2, 'negative': 0, 'total': 44}
1819132702 1618051664 {'positive': 2, 'negative': 0, 'total': 56}
1819105175 1618051664 {'positive': 1, 'negative': 0, 'total': 29}
1654693390 1618051664 {'positive': 2, 'negative': 1, 'total': 61}
1654717777 1618051664 {'positive': 1, 'negative': 1, 'total': 112}
1654762133 1618051664 {'positive': 1, 'negative': 0, 'total': 53}
1819943557 1618051664 {'positive': 0, 'negative': 1, 'total': 71}
1654784493 1618051664 {'positive': 0, 'negative': 1, 'total': 38}
1654794233 1618051664 {'positive': 0, 'negative': 1, 'total': 106}
1656260480 1618051664 {'positive': 1, 'negative': 0, 'total': 21}
1820061015 1618051664 {'positive': 1, 'negative': 1, 'total': 35}
1819050845 1618051664 {'positive': 3, 'negative': 0, 'total': 91}
1819125517 1618051664 {'positive': 3, 'negative': 0, 'total': 85}
1819945431 1618051664 {'positive': 1, 'negative': 0, 'total': 91}
1819924872 1618051664 {'positive': 2, 'negative': 0, 'total': 53}
1819952673 1618051664 {'positive': 1, 'negative': 1, 'total': 24}
1819908291 1618051664 {'positive': 1, 'negative': 0, 'total': 36}
1819066127 1618051664 {'positive': 1, 'negative': 0, 'total': 43}
1654800207 1618051664 {'positive': 1, 'negative': 1, 'total': 13}
1819982055 1618051664 {'positive': 1, 'negative': 0, 'total': 11}
1654824987 1618051664 {'positive': 0, 'negative': 1, 'total': 18}
1819892463 1618051664 {'positive': 1, 'negative': 1, 'total': 67}
1654686192 1618051664 {'positive': 4, 'negative': 0, 'total': 143}
1654758100 1618051664 {'positive': 0, 'negative': 1, 'total': 69}
1819011997 1618051664 {'positive': 0, 'negative': 1, 'total': 37}
1654703407 1618051664 {'positive': 1, 'negative': 2, 'total': 115}
1654720103 1618051664 {'positive': 2, 'negative': 0, 'total': 84}
1654803503 1618051664 {'positive': 2, 'negative': 0, 'total': 54}
1654816430 1618051664 {'positive': 1, 'negative': 0, 'total': 73}
1654796774 1618051664 {'positive': 1, 'negative': 2, 'total': 71}
1819051837 1618051664 {'positive': 1, 'negative': 2, 'total': 109}
1819975811 1618051664 {'positive': 2, 'negative': 1, 'total': 106}
1819065697 1618051664 {'positive': 1, 'negative': 4, 'total': 77}
1654756873 1618051664 {'positive': 0, 'negative': 3, 'total': 28}
1819956493 1618051664 {'positive': 0, 'negative': 1, 'total': 37}
1819040361 1618051664 {'positive': 0, 'negative': 1, 'total': 55}
1819055913 1618051664 {'positive': 5, 'negative': 0, 'total': 24}
1654796977 1618051664 {'positive': 2, 'negative': 0, 'total': 20}
1654864784 1618051664 {'positive': 2, 'negative': 0, 'total': 73}
1654738827 1618051664 {'positive': 0, 'negative': 1, 'total': 51}
1819957837 1618051664 {'positive': 0, 'negative': 2, 'total': 34}
1819035447 1618051664 {'positive': 2, 'negative': 0, 'total': 49}
1654813004 1618051664 {'positive': 4, 'negative': 2, 'total': 53}
1820050655 1618051664 {'positive': 2, 'negative': 0, 'total': 48}
